"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court"
216,"Gravenkasteel","château des comtes","op den hoek van de veerleplaats en van de geldmunt, maakt deel der veerleplaats.",3,1
217,"Groendreef","allée-verte","van zuidkaai tot Mariakerke.",6,2
218,"Groendreefsteeg","imp. de l’allée-verte","op de groendreef.",6,2
219,"Groenstraat","rue verte","van huidevetterskaai tot Vancanegemstraat.",3,1
220,"Groenenbriele",,"ziet fabriekplaats.",,
221,"Groenselmarkt","marché aux légumes ou aux herbes","van hoogpoort tot kortemunt, pensmarkt en vleeschhuisbr.",1,2
222,"Groot gewat","avenue de la cour","van burgstraat tot prinsenhof.",2,2
223,"Groote huidevettershoek","grand toquet","van walpoortbrugstraat tot corianderstraat.",5,2
224,"Groot kanonplaats","place du grand cannon","van langemunt tot vrijdagmarkt.",1,1
225,"Groot meerhem","quai du grand marais","van chartreuzenstraat tot klein meerhem.",3,1
226,"Gruisberg","rue des décombres","van de reep tot lange bogaardstraat.",4,1
227,"Guinardstraat","rue Guinard","v. bagattestr. tot kalkstr.",5,2
228,"Haanstraat","rue du coq","van meulesteedschesteenweg tusschen nrs 258 en 260 tot achtermuide.","S 3",1
229,"Ham","r. du jambon","v. roodetorenkaai t. bleekersreek.",7,1
230,"Hamerstraat","r. du marteau","v. groendreef t. kiekensstr.",6,2
231,"Haringsteeg","rue du hareng","van geldmunt tot hertogstr.",3,1
232,"Harmoniestraat","rue de l'harmonie","Ledeberg, van driesstraat tot pacificatiestraat.",0,1
233,"Haspelstr.","r. du dévidoir","v. roigemstr. tot ambeeldstr.",6,2
234,"Hazewindstraat","r. du lévrier","v. koornmarkt tot graslei.",1,2
235,"Hebbrechtstraat",,"ziet schreiboomstraat.",,
236,"Heilliggeeststraat","rue du s. esprit","van catalognestraat tot bennesteeg.",1,2
237,"Heilligkerststraat",,"ziet s. salvatorstraat.",,
238,"Heilig sacramentstraat","rue du s. sacrement","van korte meire tot veldstraat.",1,2
239,"Heirnisse","Heirnis","van den boulevard van het kasteel tot de schelde, aan de nieuwe sluis.",7,1
240,"Hel","de","maakt deel van het nieuwland.",,
241,"Hemelrijkstraat","rue du paradis","van goudenleeuwplaats tot koornmarkt.",1,2
242,"Herderstraat","rue du berger","v. werkhuisstr. tot vlasstr.",6,2
243,"Herodeszak","cul de sac d’Hérode","in de zaaimansstraat, rechter kant.",3,1
244,"Herpelsteeg","rue du canard","van ursulinenstraat tot s. jacobsnieuwstraat.",1,2
245,"Hertstraat","rue du cerf","van muinkkaai tot dwarsstraat.",5,1
246,"Hertogstraat","rue ducale","v. kraanlei tot plottersgracht.",3,1
247,"Heuvelplein","place de la colline","van s. Huibrechtstraat tot kalkstraat.",5,2
248,"Heuvelstraat","rue de la colline","van s. Amandstraat tot heuvelport.",5,2
249,"Heuvelvest","rempart de la colline","van heuvelpoort tot de schelde.",5,2
250,"Hippoliet Lammensstraat","rue Hipp. Lammens","van begijnenstraat tot verspeyenstraat.",2,2
251,"Hoefijzerstraat","rue du fer-2-cheval","van langemunt, links, tot de rivier, kraanlei.",1,1
252,"Hoefijzerstraat","rue du fer-à-cheval","Ledeberg, van kleinen binnenweg tot doorgangstraat.",0,1
253,"Hofsteeg",,"ziet 2de prinsenhofzaksteeg.",,
254,"Hofsstraat","rue du jardin","v. muinkkaai t. dierentuindr.",5,1
255,"Hofsstraat","rue du jardin","Ledeberg, van boulevardstr. tot bellevuestraat.",0,1
256,"Holstraat","r. de la caverne","v. hoogstr. t. galgenbergstr.",2,2
257,"Hoofdkerkstraat","rue de la cathédrale","van s. baafsstr. tot s. baafsplein.",1,2
258,"Hoogescheldestraat","rue du haut-escaut","ziet gouvernementstraat.",,
259,"Hoogezonnestraat","rue haute du soleil","van veerleplaats tot burgstraat, onthoofdbrug.",3,1
260,"Hoogpoortstraat","rue hautport","van groenselmarkt tot nederpolder.",1,2
261,"Hoogpoortstraatje",,"ziet werregarenstraat.",,
262,"Hoogstraat","rue haute","v. poel tot brugschepoortstraat",2,2
263,"Hoogstraat","rue haute","s. amandsberg, van brunaustraat tot dendermondscheweg.",0,1
264,"Hoornstraat","rue de la corne","van veldstraat tot predikheerenbrug,",1,2
265,"Hooie","place des prés","van tweebruggenstraat tot Arteveldeplein.",4,1
266,"Hooiaard","place aux foins","van koornmarkt tot pensmarkt en graslei.",1,2
267,"Hospiciestraat","rue de l’hospice","Ledeberg, ziet gasthuisstraat.",0,1
268,"Hospitaalstraat","rue de l'hôpital","van akkergemsstraat tot nieuwe wandeling.",2,2
269,"Hospitaalstraatje",,"ziet kleine hospitaalstraat.",,
270,"Houtbriel","rue du chantier","van oude schaapmarkt tot kalvermarkt.",1,1
271,"Houtlei","quai aux bois","van torenbrug, hoogstraat, tot violettenlei.",2,2
272,"Hoveniersberg","montagne des jardiniers","van s. pietersnieuwstraat tot opperschelde, muinkkaai.",5,2
273,"Hoveniersstraat","rue des jardiniers","van hospitaalstraat tot boulevard van akkergem.",2,2
274,"Hoveniersstraat","rue des jardiniers","Ledeberg, van brusselschesteenweg tot langestraat.",0,1
275,"Huidevetterken","rue des tanneurs","van slijpstraat tot nieuwland en godshuishammeken",3,1
276,"Huidevetterskaai","quai des tanneurs","van achterlei tot nieuwland.",3,1
277,"Huidevettershoek",,"ziet groote en kl. huidevettershoek.",,
278,"Hundelgemschesteenweg","chaussée d’Hundelgem","Ledeberg, van s. lievenspoort tot Meirelbeke.",0,1
279,"Huurdochtersstraat","rue des servantes","van koornlei tot s. michielsplaats.",2,2
280,"Jerusalemstraat",,"ziet s. barbarastraat.",,
281,"Jesuitenstraat",,"ziet voldersstraat.",,
282,"Jodenstraat","rue des juifs","van gouvernementstraat tot nederscheldstraat.",1,2
283,"Joseph den tweedenstraat","rue Joseph II","in den nieuwen rabotwijk, van De Smetstraat tot boulevard van den gazometer, aan de brug van den spoorweg.",6,2
284,"Kaatsplaats","place du jeu de paume","van drongenhof tot korte kalversteeg.",3,1
285,"Kalanderberg","place de la calandre","van kalanderstraat tot kouterdreef en lange meire.",1,2
286,"Kalanderstraat","rue de la calandre","van mageleinstraat tot kalanderberg.",1,2
287,"Kaleitje",,"ziet kalkstraat, heuvelplein, enz ",,
,"Kalkstraat","rue de la chaux","van nederkouter tot s. huibrechtstraat.",5,2
288,"Kalvermarkt","marché aux veaux","van gildestraat tot roodetorenstraat.",1,1
289,"Kammensstraat","rue des peignes","van vrijdagmarkt tot koningstraat.",1,1
290,"Kanonikstraat","rue des chanoines","van kortrijkschestraat tot kazernstraat.",5,2
,"Kanonstraat",,"ziet waterstraatje.",,
,"Kapellaanstraat ","rue du chapelain ","van de prooststraat tot de balliustraat.",7,1
291,"Kapellestraat","rue de la chapelle","van pekelharing tot s. agneetestraat",2,2
292,"Karrestraat","r. des charrettes","v. ijperstr. tot stoppelstr.",2,2
293,"Kasematstraat","rue des casemattes","van schoolstraat tot nieuwe beestenmarkt.",7,1
294,"Kasteelkaai","quai du château","van roodetorenkaai tot dampoortstraat.",7,1
295,"Kasteelplein",,"ziet spanjaardskasteel.",,
296,"Kasteelstraat of kasteelbrugstraat","rue du château","van leopoldstraat tot kasteelkaai.",7,1
297,"Kasteelvest",,"ziet boulevard van het kasteel.",,
298,"Kattenberg",,"ten einde der kanonikstraat.",5,2
299,"Kazernplaats","place des casernes","van kanonikstraat tot boulevard der citadel.",5,2
300,"Kazernstraat","rue des casernes","van s. amandstraat tot kazernplaats en deekstraat.",5,2
301,"Kazernstraat","Ledeberg","uitkomende in de langestraat.",0,1
302,"Kazernvest","rempart des casernes","einde kortrijkschestraat tot deekstraat.",5,2
303,"Keizerkarelstraat","rue Charles V","van nieuwbrug tot Arteveldeplaats.",4,1
304,"Keizerstraat","rue de Bruxelles ou de l'empereur","ziet brusselschestraat.",,
305,"Keizersdreef",,"ziet groot gewat.",,
306,"Keizersvest","rempart de la porte de Bruxelles","ziet brusselsche boulevard.",,
307,"Kelderstraat","rue de la cave","van krommenesch tot apostelstraat.",4,1
308,"Kerkhofsstraat","rue du cimetière","in de kerkstraat, brugschepoort.",6,2
309,"Kerkstraat, brugschepoort","rue de l’église","van noordkaai tot ijskelderstraat.",6,2
310,"Kerkstraat","rue de l’église","Ledeberg, van hundelgemschesteenweg tot vooruitgangplaats.",0,1
311,"Kerkstraat","rue de l’église","Gentbrugge, van posthoornstraat, Ledeberg, naar de gemeente Gentbrugge.",0,1
