"order_id","place_name_NL","place_name_FR","d","police_uqarter","canton_of_small_claims_court"
300,"Kalanderstraat","rue de la calandre","van mageleinstraat tot kalanderberg.",1,2
301,"Kalvermarkt","marché aux veaux","van gildestraat tot roodentorenstraat.",1,1
302,"Kammerstraat","rue des peignes","van vrijdagmarkt tot koningstraat.",1,1
303,"Kanunnikstraat","rue des chanoines","van kortrijkschestraat tot korte en lange kazernenstraten.",5,2
304,"Kanonstraat",,"ziet waterstraatje.",,
305,"Kapellaanstraat","rue du chapelain","van de prooststraat tot de baljuwstraat.",7,1
306,"Kapellestraat","rue de la chapelle","van pekelharing tot s. agneetestraat.",2,2
307,"Kapucijnenham","hameau des capucins","van keizerkarelstraat tot apostelstraat.",4,1
308,"Kapucijnenstraat","rue des capucins","van brabantdam tot keizerkarelstraat.",4,1
309,"Karpelstraat","rue de la carpe","van toekomststraat tot snoekstraat.",7,1
310,"Karrenstraat","r. des charrettes","v. ijperstr. tot stoppelstr.",2,2
311,"Kastanjestraat","rue du marron","van vossenstraat tot peterceliestraat.",6,2
312,"Kasteelboulevard","boulevard du château","van boulevard Lousbergs tot hoek der schoolkaai.",7,1
