observatie ID,plaats ID,crab ID,naam (NL),naam (NL) clean,naam (FR),plaatsbeschrijving,politiekwartier,kanton vredegerecht,datering,bron,Column,Column2,Column3
356,4120,70621,Karel Mirystraat,Karel Mirystraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
357,357,70623,Karel van de Woestijnestraat,Karel van de Woestijnestraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
358,12426,70635,Kasteellaan,Kasteellaan,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
359,3943,70641,Kattenberg,Kattenberg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
360,3941,70645,Kazemattenstraat,Kazemattenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
361,3689,70654,Keizervest,Keizervest,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
362,362,70655,Keizerviaduct,Keizerviaduct,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
363,363,70659,Keramiekstraat,Keramiekstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
364,3956,70667,Ketelvest,Ketelvest,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
365,3958,70676,Kiekenstraat,Kiekenstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
366,3982,70692,Klein Turkije,Klein Turkije,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
367,3977,70704,Kleinvleeshuissteeg,Kleinvleeshuissteeg,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
368,368,208998,Klipperstraat,Klipperstraat,,,,,2021,https://www.zotero.org/groups/4391394/items/PIQMUK9N,,,
