"order_id","place_name_NL","place_name_FR","description"
233,"Houtlei","quai aux bois","van torenbrug, hoogst., t. violettenlei."
234,"Hoveniersberg","montagne des jardiniers","van hospitaalstraat tot akkergemvest."
235,"Hoverniersstraat","rue des jardiniers","van hospitaalstraat tot akkergemvest."
236,"Huurdochterstraat","rue des servantes","van koornlei tot s. Michielsplein."
237,"Huidevetterken","rue des tanneurs","v. slijpstr. t. nieuwland en Godshuishammeken."
238,"Huidevetterskaai","quai des tanneurs","v. achterlei t. nieuwland."
239,"Huidevettershoek",,"zie groote en kleine huidevettershoek."
240,"Hundelgemschesteenweg","chaussée d’Hundelgem","van s. lievenspoort tot Meirelbeke."
241,"Jerusalemsstraat",,"zie s. Barbarastraat."
242,"Jesuitenstraat",,"ziet voldersstraat."
243,"Jodenstr.","rue des juifs","v. gouvernementstr. t. nederscheldst."
244,"Kaatsplaats","place du jeu de paume","van drongenhof tot kortekalversteeg."
245,"Kalanderberg","place de la calandre","van kalanderstraat tot kouterdreef en lange meire."
246,"Kalanderstraat","rue de la calandre","van mageleinstraat tot kalanderberg."
247,"Kalkstraat","rue de la chaux","v. nederkouter t. s. huibrechtstr."
248,"Kaleitje",,"zie kalkstraat, heuvelplein, enz."
249,"Kalvermarkt","marché aux veaux","v. gildestr. t. roodetorenst."
250,"Kammersst.","r. des peignes","v. vrijdagmarkt t. koningstraat."
251,"Kanonikstraat","rue des chanoines","van kortrijkschestraat tot kazernstraat."
252,"Kanonstraat",,"ziet waterstraatje."
253,"Kapellaanstraat","rue du chapelain","van de prooststraat tot de balliustraat."
254,"Kapellestraat","r. de la chapelle","v. pekelharing t. s. agneetst."
255,"Karrestraat","r. des charrettes","v. ijperstraat t. stoppelstraat."
256,"Kasteelkaai","quai du château","v. roodetorenk. t. dampoortstr."
257,"Kasteelplein",,"ziet spanjaardskasteel."
258,"Kasteelstraat of kasteelbrugstraat","r. du château","v. leopoldstraat t. kasteelkaai."
259,"Kasteelvest",,"ziet boulevard van het kasteel."
260,"Kattenberg",,"ziet kanonikstraat."
261,"Kazernplaats","place d. casern.","v. kanonnikstraat t. kazernpl."
262,"Kazernstraat","rue des casernes","van s. Amandstraat tot kazernplaats en dekstraat."
263,"Kazernvest","rempart des casernes","van kortrijkschestraat tot kazernstraat."
264,"Keizerstraat","rue de Bruxelles ou de l'empereur","van lange violettestraat tot de keizerpoort (Ledeberg)."
265,"Keizerkarelstr.","rue Charles V","v. nieuwbrug t. Arteveldepl."
266,"Keizersdreef",,"ziet groot gewat."
267,"Keizersvest","rempart de la porte de Bruxelles","van visscherij tot s. Lievens-boulevard."
268,"Kelderstraat","r. de la cave","v. krommenesch t. apostelstraat."
269,"Kerkhofsstraat","r. du cimetière","in de kerkstr. brugschepoort."
270,"Kerkstraat, brugschepoort","rue de l’église","van noordkaai tot verbindingsvaart en van dezelve vaart tot Wondelgem (boerenkerkstraat)."
271,"Kerkstraat, Ledeberg","rue de l’église","van hundelgemschesteenweg tot Eggermontstraat."
272,"Kerkstraat, Gentbrugge","rue de l’église","van posthoornstr.,"
273,"Ledeberg",,"naar de gemeente Gentbrugge."
274,"Kerrestraat",,"ziet karrestraat."
275,"Ketelplein","plaine de chaudronniers ou des bastions","van begin nederkouter tot de lei."
276,"Ketelstraatje",,"ziet stadhuissteeg."
277,"Ketelvest","rempart des chaudronniers ou des bastions","van nederkouter tot walpoortbrugstraat."
278,"Kiekenmarkt","marché aux poulets","ziet pouillemarkt."
279,"Kiekenstraat","r. du poulet","v brugschesteenweg t. hamerstr."
280,"Kleisraat",,"ziet kalkstraat."
281,"Kleine bellevuestraat","petite rue de bellevue","van coupure, linker oever, tot bijlokevest."
282,"Kleine binnenweg, Ledeberg","petit chemin de traverse","van binnenweg tot langestraat."
283,"Kleine botermarkt","petit marché au beurre","van bij s. Jacobs tot baudeloolei."
284,"Kleine dok","petit dok ou dok rive gauche","van buitenmuide tot dampoort, antwerpschesteenweg."
285,"Kleine hoogpoortstraat","petite rue du haut-port","van ketelplein tot leistraat."
286,"Kleine hospitaalstraat","petite rue de l’hôpital","van akkergemstraat tot hospitaalstraat."
287,"Kl. huidevettershoek","p. toquet","v. corianderstr. t. lammerst."
288,"Kleine kerkstr.","petite rue de l’église","Ledeberg, van kl. binnenweg tot hoefijzerstr."
289,"Kleine koornmarkt",,"ziet koornmarkt."
290,"Kleine kuipersstraat","petite rue des tonneliers","van brabantdam tot kuiperskaai."
291,"Kl. onderstraat","petite rue basse","v. onderstr. t. kammersstr."
292,"Kleine penitentenstraat","petite rue des pénitents","van kleine botermarkt tot wolvensteeg."
293,"Kleine ramstr","pet. r. du bélier","v. ramstr. t. luxemburgstr."
294,"Kleine reke",,"ziet bleekersreek."
295,"Kleine statiestraat","petite rue de la station","van brabantdam tot kleine kuipersstraat."
296,"Kl. s. Gillisstr.","impasse s. Gilles","in s. Gillisstr., zonder eind."
297,"Kl. veerstraat","pet. r. du ponton","v. kortrijkschestr. t. de lei."
298,"Kleine vleeschhuissteeg","ruelle de la petite boucherie","van kouter tot kortedagsteeg."
299,"Kleine vischmarkt","petit marché au poisson","van vleeschhuisbrug tot veerleplaats."
300,"Kleine ijperstraat",,"ziet ijpersteeg."
301,"Klein gewat","petite avenue de la cour","van groot gewat tot lievekaai."
302,"Klein meerhem","place du petit marais","van groot meerhem tot sasschekaai en voormuide."
303,"Klein Turkijen","petite Turquie","van goudeleeuwpl. t. koornm."
304,"Kluizestraat","rue de l’hermitage","v. molenaarstr t lievegang."
305,"Kluyskensstraat","rue Kluyskens","van de bijlokevest langs het nieuw hospitaal tot de bijlokestraat."
306,"Koestraat","rue aux vaches","v. kalanderberg t. kortedagstr."
307,"Koepoort ","porte aux vaches ","op einde der bijlokestraat."
308,"Koepoortkaai","quai aux vaches","v. mortierstr. t. Arteveldepl."
309,"Koepoortstraat","rue du quai aux vaches","van apostelsstraat tot koepoortkaai."
310,"Kogelstraat","rue de la balle","van antwerpschesteenweg tot weldadigheidstraat."
311,"Koningstraat","rue royale","van zandberg tot vlasmarkt."
312,"Koningstraat",,"ziet kleinen binnenweg Ledeberg "
,"Koolsteeg","rue aux choux","v. burgstraat t. begijnendries."
313,"Koophandelplaats",,"ziet recollettenplein."
314,"Koornbloemsstraat","rue du bluet, rue de la fleur de blé","van akkergemstraat t. kruisboogstraat."
315,"Koornlei","quai au blé","van grasbrug tot huurdochterstraat."
316,"Koornmarkt","marché aux grains","v. kortemunt t. veldstraat."
317,"Koperstraat","rue du cuivre","van jperstraat tot stoppelstraat."
318,"Korte beenhouwerstraat","rue courte des bouchers","van gruisberg tot winkelsteeg."
319,"Korte bogaardstraat","rue courte du verger","van lange bogaardstraat tot belgradestraat."
320,"Korte boomgaardstraat",,"ziet korte bogaardstraat."
321,"Kortedagsteeg","r. courte du jour","v. koestr t. walpoortbrug."
322,"Korte kalversteeg","rue courte aux veaux","van roode koningstraat tot kaatsplaats."
323,"Korte kammerstraat","rue courte des peignes","van kammersstraat tot bij s. Jacobs."
324,"Korte koestraat","rue courte aux vaches","van spiegelstraat tot de oude ossenmarkt."
325,"Korte krevelsteeg","rue courte des démangeaisons, ou passage de la rue de Bruxelles","van keizerstraat tot s. Lievenstraat."
326,"Korte kruisstraat","r. courte de la croix","van kruisstraat tot mageleinstraat."
327,"Korte meire","rue courte du marais","van voldersstraat t. kouter."
328,"Korte munt","rue courte de la monnaie","van groenselmarkt tot koornmarkt."
329,"Korte onderstraat",,"ziet kleine onderstraat."
330,"Korte penitentenstraat",,"ziet kleine penitentenstraat."
331,"Korte ridderstraat","rue courte des chevaliers","van goudeleeuwplaats tot s. Janstraat."
332,"Kortschipgracht","rue courte des bateaux","van zaalmansstraat tot palingstraat."
333,"Korte steensstraat","rue courte des pierres","van langesteenstraat tot slijpstraat."
334,"Korte violettestraat","r. courte des violettes","van recollettenlei tot annonciadenstraat (zottepoortbrug)."
335,"Korte wijngaardstraat","rue courte de la vigne","van lange bogaardstraat tot belgradestraat."
336,"Korte ijperstraat",,"ziet ijpersteeg."
337,"Korte zilverstraat","r. courte d'argent","v. lievekaai t. prinsenhof."
338,"Kort onderbergen","r. courte de la vallée","van recollettenbrug tot onderbergen."
339,"Kortrijkschestraat","rue de Courtrai","van nederkouter tot kortrijkschepoort."
340,"Kortrijkschepoortstraat",,"ziet kortrijkschestraat."
341,"Kortrijkschesteenweg","chaussée de Courtrai","van kortrijkschepoort naar s. Denijs."
342,"Kouter","place d'armes","van vogelmarkt tot zonnestraat en comediestraat."
343,"Kouterdreef","avenue de la place d'armes","van kalanderberg tot kouter."
344,"Koutersteeg","ruelle de la place d'armes","v. koestr. tot kouter."
345,"Kozijntjensstraat",,"ziet cozijntjesstraat."
346,"Kraanlei","quai de la grue","van veerleplaats tot oudburg."
347,"Kraanstraat","rue de la grue","van bleekersreeke tot dok."
348,"Kriekerijstraat","rue de la cérisaie","van molenaarsstraat tot s Margueritestraat."
349,"Krommenelleboog",,"ziet saliestraat "
,"Krommenesch","r. du tortillard","v. keizerkarelstr. t. veerstraat."
350,"Krommewal","rue du fossé courbe","van Baudeloolei tot het water (achterlei)."
351,"Kromsteeg","rue tortue","van catalognestraat tot bennesteeg."
352,"Kroonstraat","rue de la couronne","v. weversstraat t. vlasstraat."
353,"Kruisstraat","rue de la croix","van bij s. Baafs t. kalanderberg."
354,"Kruisboogstraat","rue de l’arbalète","van akkergemsstraat tot koornbloemstraat."
355,"Kuipersstraat","rue des tonneliers","van plottersgracht tot lange steenstraat."
356,"Kuiperskaai","quai des tonneliers","van Lieven Bauwensplaats tot oude scheldesteeg."
357,"Kwaadham",,"ziet spiegelstraat."
