"order_id","place_name_NL","place_name_FR","description","police_quarter","canton_of_small_claims_court","map_number"
174,"kapucijnenham","Capucins, hameau des","r. Charles- quint — r. des apôtres. (",4,1,61
175,"kaarderijstr.","Carderie, r. de la","ch. de Tronchiennes — quai de la Lys. (",6,3,45
176,"karpelstr.","Carpe, r. de la","r. de l’avenir — boul. de l'Escaut. (",7,1," 72-82"
177,"kazemattenstr.","Casemattes, r. des","q. de l'école — nouv. marché au bétail. (",7,1," 52 62"
178,"korte kazernenstraat","Casernes, r. courte des","r. St Amand — r. Jordaens. (",5,2," 78 88"
180,"lange kazernenstr.","Casernes, r. longue des","r. Metdepenningen — boul. Charles de Kerchove. (",5,2,88
181,"kazernstr.","Casernes, r. des","r. longue — r. Vandenhecke. (Ledeberg). ",,,102
182,"nieuwe casinostr.","Casino, r. neuve du","r. des douze chambres — place du casino. (",2,2,57
183,"casinoplaats","Casino, place du","r. de la caverne — r. du casino. (",2,2,57
184,"casinostr.","Casino, r. du","r. des thérésiennes — place du casino. (",2,2,57
185,"catalognestr.","Catalogne, r. de la","place Emile Braun — mar. aux grains. (",1,2,59
186,"hoofdkerkstr.","Cathédrale, r. de la","r. St Bavon — place de l'évêché. (",1,2,60
187,"holstr.","Caverne, r. de la","r. haute — r. du calvaire. (",2,2,57
187,"cederstr.","Cèdre, r. du ","r. du sapin — r. du marron. (",6,3,35
188,"hertstr.","Cerf, r. du","quai des moines — r. bénard (",5,1," 79-89 "
189,"kriekerijstr.","Cérisaie, r. de la ","r. des meuniers — r. Ste Marguerite. (",3,3,38
190,"kouterstr.","Champ, r. du","pl. de l’église — l'Escaut.",,,
191,"k. veldstr.","Gendbrugge. Champs, r. c. des","r. Vande Velde — r. des champs. Gendbrugge.",,,103
193,"veldstr.","Champs, r. des","marché aux grains — place du commerce. (",1,2," 59-69"
194,"nederkouter","Champs, r. basse des","pont des chaudronniers — r. de Courtrai. (",5,2," 69-70"
195,"kouterstr.","Champs, r. des","r. du moulin — ch. de Termonde. (Mont-St Amand).",,,63
196,"veldstr.","Champs, r. des","r. du maure — r. des remparts. Gendbrugge. ",,,"102-103"
197,"eliseeschevelden","Champs-Elysées","q. du nord — boulev. du gazomètre.",10,3," 26-36"
198,"eliseescheveldenstr.","Champs-Elysées, r. des","r. de l'église — Champs-Elysées.",10,3,36
